i_trial,n_agents,t,failed_count,converged,objective_val,N,dt,ids
0,10,4.000000000000002,0,True,52.0285062354347,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
1,10,4.000000000000002,0,True,49.6267187636624,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
2,10,4.000000000000002,0,True,56.34958745680475,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
3,10,4.000000000000002,0,True,57.697860322218204,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
4,10,4.000000000000002,0,True,52.90720472310243,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
5,10,4.000000000000002,0,True,44.562677203432585,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
6,10,4.000000000000002,0,True,51.02481574078659,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
7,10,4.000000000000002,0,True,40.570655035543226,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
8,10,4.000000000000002,0,True,40.86632215160237,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
9,10,4.000000000000002,0,True,56.99489293044188,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
10,10,4.000000000000002,0,True,56.080189274991156,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
11,10,4.000000000000002,0,True,53.89883736509825,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
12,10,4.000000000000002,0,True,46.99599223037726,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
13,10,4.000000000000002,0,True,50.733828236524985,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
14,10,20.000000000000014,186,False,0.0001325800248957079,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
15,10,4.000000000000002,0,True,54.98168417272957,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
16,10,4.000000000000002,0,True,52.65639383588307,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
17,10,4.000000000000002,0,True,48.84690159132427,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
18,10,4.000000000000002,0,True,43.74773315746129,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
19,10,4.000000000000002,0,True,57.70687020475863,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
20,10,4.000000000000002,0,True,51.02788344569572,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
21,10,4.000000000000002,0,True,50.8422022880826,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
22,10,4.000000000000002,0,True,43.73968150486923,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
23,10,20.000000000000014,200,False,0.000132580021533355,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
24,10,4.000000000000002,0,True,52.32768556230571,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
25,10,4.000000000000002,0,True,52.69494631722332,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
26,10,4.000000000000002,0,True,46.477907434916375,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
27,10,4.000000000000002,0,True,45.73164102518277,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
28,10,4.000000000000002,0,True,52.01441977059031,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
29,10,4.000000000000002,0,True,49.45654530886213,15,0.1,"[100, 101, 102, 103, 104, 105, 106, 107, 108, 109]",
